,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,hobart,-70,151,67.38800000000005,45,20,9.26
1,gueret,46,2,40.11800000000009,93,75,4.12
2,kapaa,35,-153,67.65800000000002,60,90,2.57
3,berlevag,79,30,25.591999999999995,91,100,11.54
4,hilo,12,-148,67.83800000000005,60,75,2.06
5,cherskiy,85,158,-5.259999999999984,81,0,1.34
6,xai-xai,-27,35,78.51200000000006,77,99,0.64
7,kjopsvik,67,17,25.088000000000044,93,40,1.03
8,hovd,44,101,16.970000000000063,83,0,1.59
9,thunder bay,50,-90,-9.273999999999965,59,90,5.66
10,nanortalik,53,-35,25.916000000000007,93,88,1.18
11,punta arenas,-57,-79,48.092,76,75,6.69
12,atambua,-7,127,80.90600000000003,80,91,3.21
13,kudahuvadhoo,3,67,81.51800000000009,76,63,5.83
14,singanallur,11,77,78.80000000000001,50,20,2.06
15,kodiak,54,-145,32.0,59,1,3.6
16,provideniya,50,-177,-3.8199999999999577,85,1,4.04
17,bethel,59,-161,24.83600000000007,79,1,1.13
18,clyde river,69,-79,-9.399999999999949,84,75,1.03
19,bluff,-67,156,60.8,79,1,5.71
20,treinta y tres,-33,-55,60.242,95,0,0.93
21,salalah,15,60,75.2,64,75,1.54
22,brunsbuttel,54,9,25.430000000000042,71,100,4.47
23,rikitea,-64,-135,78.26000000000008,71,89,4.98
24,cedar city,37,-112,37.4,35,1,6.17
25,okhtyrka,50,35,2.066000000000006,91,22,3.3
26,new norfolk,-52,140,65.60600000000002,44,15,1.79
27,chuy,-56,-30,65.4260000000001,90,0,2.86
28,mackay,-20,151,90.15800000000002,62,100,6.17
29,hasaki,29,150,62.564000000000036,25,20,2.57
30,saint-philippe,-40,61,80.67200000000004,70,0,3.6
31,cape town,-56,2,68.19800000000004,73,75,8.23
32,kuminskiy,59,67,30.182000000000016,99,100,3.82
33,opuwo,-20,9,69.72800000000007,42,92,1.46
34,huarmey,-15,-89,71.54600000000005,72,100,2.81
35,norman wells,63,-129,-27.39999999999995,68,75,3.09
36,east london,-54,46,69.80000000000001,83,20,2.57
37,hammerfest,74,23,25.844000000000072,94,100,7.49
38,ushuaia,-76,-18,46.4,76,75,4.63
39,dhidhdhoo,7,74,81.48200000000003,69,26,5.17
40,longyearbyen,84,24,15.8,79,75,5.66
41,albany,-69,106,60.8,100,90,8.75
42,vaini,-75,-178,80.6,89,75,4.63
43,butaritari,2,163,80.9600000000001,80,60,9.43
44,osakarovka,51,73,14.486000000000068,93,100,12.91
45,busselton,-74,89,61.23200000000001,95,100,1.34
46,vanavara,62,102,16.86200000000006,96,100,4.58
47,saskylakh,89,112,-42.23199999999997,78,21,3.5
48,georgetown,9,-57,75.2,94,20,2.06
49,haines junction,60,-142,-18.39999999999995,76,68,0.51
50,jamestown,-14,-4,67.28000000000004,84,71,6.98
51,mahebourg,-51,81,86.0,70,40,4.63
52,mount gambier,-42,138,64.4,59,90,8.75
53,ntungamo,-1,29,69.96200000000006,57,87,0.83
54,ponta do sol,18,-30,68.0,60,75,9.26
55,muisne,2,-85,77.05400000000006,89,80,1.04
56,christchurch,-48,176,65.55200000000008,68,0,10.8
57,lagoa,51,-25,60.15200000000008,90,98,11.4
58,arraial do cabo,-32,-33,72.05000000000001,82,100,3.98
59,gamba,-8,3,78.33200000000002,89,91,1.27
60,qaanaaq,83,-81,12.866000000000007,92,100,1.49
61,katsuura,20,153,60.8,39,0,5.14
62,pella,41,-93,-5.511999999999958,84,1,2.74
63,carnarvon,-28,109,86.0,100,40,5.66
64,cabedelo,-5,-27,75.2,94,20,1.54
65,matagami,50,-77,1.3999999999999986,85,90,2.32
66,port hardy,49,-129,38.80400000000005,93,90,2.06
67,barrow,76,-154,-5.799999999999947,77,90,6.17
68,qujing,25,104,59.0,49,90,3.13
69,vanimo,3,143,80.72600000000008,85,99,4.17
70,constitucion,-35,-72,56.516000000000005,88,23,1.33
71,kahului,24,-154,66.97400000000002,64,40,3.09
72,puerto ayora,-6,-107,77.0,95,69,2.96
73,dryden,50,-93,-20.199999999999953,63,90,6.69
74,thompson,60,-94,-30.99999999999995,61,40,4.63
75,ribeira grande,37,-41,61.17800000000007,88,96,9.45
76,paamiut,57,-53,25.82600000000009,80,80,1.98
77,berberati,4,16,71.6,88,90,4.12
78,giyani,-23,31,73.184,87,97,0.66
79,astana,50,70,14.0,79,75,13.0
80,faanui,-6,-159,82.72400000000002,67,1,3.62
81,itacoatiara,-2,-59,74.3180000000001,96,100,1.5
82,letlhakeng,-24,25,65.48000000000005,93,100,3.52
83,pop,41,71,48.2,49,100,2.06
84,marsh harbour,29,-74,74.75,89,0,7.97
85,madang,-5,146,84.79400000000007,74,86,3.19
86,ous,63,61,-17.211999999999954,88,100,6.44
87,pochutla,7,-97,77.0,84,3,1.25
88,providencia,29,-112,61.592,36,1,2.57
89,macrohon,10,125,80.9600000000001,82,99,4.88
90,mehamn,75,28,25.28600000000007,93,100,10.2
91,phalaborwa,-24,31,73.4,100,98,1.54
92,olinda,-9,-27,78.80000000000001,73,40,1.54
93,northam,-28,119,72.26600000000002,73,90,7.72
94,los llanos de aridane,29,-20,59.0,67,0,0.51
95,tiksi,83,126,-25.221999999999937,85,100,2.68
96,mega,4,38,65.858,53,27,4.1
97,atuona,-3,-116,79.57400000000001,79,90,10.71
98,helena,47,-112,1.2560000000000286,71,90,5.66
99,bredasdorp,-84,21,66.2,94,99,1.54
100,korla,42,85,37.25600000000003,64,45,3.39
101,castro,-43,-102,54.01400000000004,71,0,0.51
102,chara,58,118,-7.077999999999967,78,37,0.51
103,ancud,-41,-86,53.79800000000003,71,0,0.51
104,pitimbu,-7,-28,75.2,94,20,1.54
105,oyama,34,138,63.48200000000001,17,20,4.63
106,bengkulu,-20,93,86.684,55,64,4.16
107,nahrin,36,69,59.25200000000008,32,49,0.95
108,merauke,-10,140,83.75,80,99,7.96
109,beringovskiy,55,177,-9.147999999999975,90,70,5.69
110,severo-kurilsk,39,165,22.064000000000032,93,94,9.69
111,mayo,65,-137,-36.39999999999995,67,40,1.03
112,geraldton,-31,100,73.4,73,90,10.29
113,port elizabeth,-34,26,69.80000000000001,78,0,8.23
114,victoria,-8,52,82.4,83,75,7.2
115,acari,-16,-75,72.93200000000002,70,100,0.79
116,mar del plata,-54,-44,63.68000000000004,77,75,2.57
117,concordia,-27,-52,54.77000000000007,97,0,0.76
118,hermanus,-55,7,64.99400000000009,95,98,5.13
119,nantucket,39,-66,37.22000000000006,75,1,2.57
120,isangel,-20,179,82.20200000000008,68,21,2.75
121,banjar,-8,107,87.80000000000001,74,20,3.6
122,arnedo,42,-2,38.228000000000065,93,40,3.6
123,bonga,7,36,64.47200000000004,51,57,0.36
124,poum,-22,160,81.14000000000001,67,18,3.42
125,chabahar,26,61,67.78399999999999,50,0,1.92
126,knysna,-37,23,66.2,82,40,3.6
127,kavieng,2,153,85.28000000000004,63,30,2.03
128,khatanga,83,99,-32.457999999999956,78,0,4.12
129,turukhansk,65,92,-5.601999999999975,89,83,2.86
130,richards bay,-30,34,74.80400000000006,82,95,3.52
131,itoman,22,129,72.01400000000004,68,75,6.69
132,dikson,87,71,-28.20999999999998,86,91,4.48
133,auki,-7,161,75.95600000000003,92,100,4.2
134,namibe,-16,4,71.18600000000006,79,68,0.75
135,lalpur,22,70,77.0,23,0,7.2
136,kareli,23,79,69.65600000000003,26,0,1.61
137,mirzapur,24,90,69.80000000000001,73,75,3.6
138,loma bonita,18,-96,71.13200000000002,94,0,1.98
139,dutse,12,9,56.08399999999999,34,85,2.1
140,avarua,-74,-167,82.4,74,7,3.09
141,laguna,-31,-45,64.97600000000008,88,85,2.75
142,salto,-31,-58,69.06200000000007,55,0,1.99
143,mudgee,-32,150,79.55600000000004,39,75,3.6
144,olafsvik,65,-26,34.28600000000007,82,10,6.77
145,dingle,50,-22,39.16400000000003,86,100,4.47
146,goryachegorsk,55,89,31.748000000000026,95,25,2.82
147,ballina,56,-10,39.00200000000008,87,91,4.02
148,conakry,9,-14,78.15200000000007,65,72,0.5
149,zahnitkiv,48,29,19.99400000000007,84,100,3.66
150,mahibadhoo,4,64,81.57200000000003,77,54,6.19
151,erzin,47,95,6.764000000000031,87,0,0.41
152,sao filipe,15,-28,69.0260000000001,73,28,6.65
153,abu zabad,12,29,56.37200000000004,39,0,6.58
154,bambous virieux,-34,84,85.53200000000001,70,40,4.63
155,sitka,45,-144,30.2,64,90,2.06
156,torbay,50,-46,35.978000000000065,93,40,10.8
157,mandapam,9,79,76.4600000000001,81,56,8.5
158,amga,61,131,-19.74999999999995,82,100,0.84
159,aykhal,65,110,-27.363999999999983,83,50,3.95
160,hofn,62,-14,32.504000000000055,93,94,8.61
161,yellowknife,90,-104,-44.931999999999974,66,1,1.54
162,pangnirtung,67,-63,22.010000000000083,80,93,1.19
163,taltal,-26,-74,62.978000000000065,77,22,1.77
164,biak,3,137,84.542,63,100,0.67
165,yenagoa,4,6,78.15200000000007,92,17,1.22
166,belmonte,-16,-37,77.0,88,20,2.57
167,udachnyy,67,112,-27.561999999999955,82,13,3.64
168,springdale,50,-56,32.0,81,68,2.24
169,ulu-telyak,55,57,-1.4979999999999762,90,100,5.84
170,lalmohan,22,91,75.14600000000004,42,22,6.76
171,ritchie,-29,24,64.4,88,0,1.03
172,dosso,13,3,69.63800000000005,22,31,4.97
173,saldanha,-35,13,64.4,82,13,5.14
174,svetlogorsk,67,94,8.690000000000019,84,0,1.0
175,chicla,-12,-76,42.458000000000006,80,100,1.32
176,lebu,-31,-100,58.190000000000026,93,77,1.63
177,hithadhoo,-14,77,81.842,74,76,5.57
178,taoudenni,24,-8,56.46200000000006,41,64,3.84
179,barentu,16,38,57.30800000000001,48,0,1.82
180,okhotsk,58,144,7.033999999999992,86,97,10.71
181,jaisalmer,27,71,73.88600000000008,19,0,3.25
182,cervo,45,-8,32.0,100,89,1.34
183,kearney,40,-99,5.738000000000046,78,90,5.66
184,tasiilaq,62,-31,33.8,51,75,8.23
185,bubaque,5,-21,77.25200000000008,50,42,9.84
186,halifax,40,-61,32.19800000000002,69,55,8.23
187,acapulco,14,-101,74.75,76,0,1.53
188,kavaratti,11,68,81.734,60,83,3.81
189,port alfred,-81,46,71.99600000000005,77,33,2.68
190,lompoc,25,-129,50.75600000000003,93,90,2.02
191,prince rupert,52,-131,36.03200000000002,80,90,2.06
192,tuktoyaktuk,89,-116,-16.59999999999995,76,90,7.72
193,havre-saint-pierre,55,-63,26.6,93,90,15.95
194,port-gentil,-3,2,75.2,94,75,2.57
195,belaya gora,66,147,-31.53999999999997,83,0,0.54
196,phonhong,19,102,82.4,44,0,2.06
197,ginir,8,41,62.492,47,70,0.73
198,kapit,2,115,85.334,68,100,0.63
199,harper,-1,-11,78.60200000000009,88,16,2.77
200,manjacaze,-25,35,76.49600000000005,81,94,1.12
201,cherepanovo,54,83,30.2,99,96,9.86
202,troitsko-pechorsk,63,57,-21.135999999999967,87,100,5.23
203,cacu,-19,-51,67.92800000000007,80,34,1.27
204,oster,51,31,7.646000000000047,100,4,1.94
205,nikolskoye,42,171,9.788000000000043,85,75,8.0
206,oksfjord,71,22,26.294000000000075,80,100,6.17
207,anadyr,61,174,-12.99999999999995,84,0,3.0
208,flin flon,55,-101,-32.38599999999997,81,2,3.55
209,bumba,2,23,68.28800000000004,59,20,1.24
210,calgary,51,-114,-9.52599999999994,77,90,4.12
211,vila franca do campo,39,-23,59.522000000000034,94,40,8.75
212,grindavik,53,-25,32.0,64,0,7.2
213,ixtapa,2,-108,69.38600000000008,88,1,1.19
214,joshimath,31,80,60.908,28,0,1.85
215,zabid,13,43,73.83200000000002,69,31,2.35
216,kuandian,41,125,22.532000000000018,85,0,5.05
217,san policarpo,15,130,81.608,83,74,6.39
218,hobyo,4,51,79.07000000000006,71,64,8.0
219,nemuro,35,152,21.2,79,75,4.12
220,alice springs,-22,134,91.45400000000006,19,2,5.66
221,port augusta,-32,137,81.80600000000004,56,1,8.75
222,meulaboh,-3,90,87.90800000000002,59,40,1.39
223,makakilo city,5,-166,71.834,56,1,1.54
224,sikasso,11,-6,71.9600000000001,23,79,1.28
225,san patricio,7,-117,69.8180000000001,87,1,1.52
226,pahrump,37,-116,43.64600000000005,38,0,0.45
227,poya,-27,161,80.61800000000008,72,55,2.44
228,ilulissat,78,-44,26.6,43,0,10.8
229,iqaluit,60,-64,24.38600000000007,68,75,3.09
230,esperance,-36,124,64.4,88,90,8.75
231,nyrad,55,12,29.498000000000026,65,100,8.94
232,marsa matruh,27,26,46.4,87,0,1.34
233,kribi,3,10,78.22400000000002,87,76,1.8
234,lorengau,6,150,84.32600000000009,76,86,2.65
235,college,70,-148,-5.061999999999955,77,90,1.1
236,kitob,39,67,48.2,76,75,3.09
237,puerto escondido,11,-98,76.53200000000001,75,0,2.37
238,chokurdakh,84,145,-26.121999999999936,84,48,2.47
239,gao,17,-1,70.28600000000007,20,100,5.07
240,urumqi,43,90,10.399999999999999,92,20,1.0
241,quelimane,-18,38,78.80000000000001,100,40,1.54
242,sinnamary,15,-46,77.07200000000003,87,98,5.02
243,san luis,29,-114,60.78200000000002,29,0,2.37
